Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,census_tract,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A14006_001
6107003503,"Census Tract 35.03, Tulare County, California",ACSSF,ca,140,0,11647,,,,,6,107,06107003503,Census Tract 35.03,,,,82188
6107003504,"Census Tract 35.04, Tulare County, California",ACSSF,ca,140,0,11648,,,,,6,107,06107003504,Census Tract 35.04,,,,57065
6107003601,"Census Tract 36.01, Tulare County, California",ACSSF,ca,140,0,11649,,,,,6,107,06107003601,Census Tract 36.01,,,,54967
6107003602,"Census Tract 36.02, Tulare County, California",ACSSF,ca,140,0,11650,,,,,6,107,06107003602,Census Tract 36.02,,,,65430
6107003700,"Census Tract 37, Tulare County, California",ACSSF,ca,140,0,11651,,,,,6,107,06107003700,Census Tract 37,,,,45386
6107003801,"Census Tract 38.01, Tulare County, California",ACSSF,ca,140,0,11652,,,,,6,107,06107003801,Census Tract 38.01,,,,39821
6107003802,"Census Tract 38.02, Tulare County, California",ACSSF,ca,140,0,11653,,,,,6,107,06107003802,Census Tract 38.02,,,,22911
6107003902,"Census Tract 39.02, Tulare County, California",ACSSF,ca,140,0,11654,,,,,6,107,06107003902,Census Tract 39.02,,,,32736
6107003903,"Census Tract 39.03, Tulare County, California",ACSSF,ca,140,0,11655,,,,,6,107,06107003903,Census Tract 39.03,,,,46504
6107003904,"Census Tract 39.04, Tulare County, California",ACSSF,ca,140,0,11656,,,,,6,107,06107003904,Census Tract 39.04,,,,44250
6107004000,"Census Tract 40, Tulare County, California",ACSSF,ca,140,0,11657,,,,,6,107,06107004000,Census Tract 40,,,,
6107004102,"Census Tract 41.02, Tulare County, California",ACSSF,ca,140,0,11658,,,,,6,107,06107004102,Census Tract 41.02,,,,42831
6107004103,"Census Tract 41.03, Tulare County, California",ACSSF,ca,140,0,11659,,,,,6,107,06107004103,Census Tract 41.03,,,,45981
6107004104,"Census Tract 41.04, Tulare County, California",ACSSF,ca,140,0,11660,,,,,6,107,06107004104,Census Tract 41.04,,,,44416
6107004200,"Census Tract 42, Tulare County, California",ACSSF,ca,140,0,11661,,,,,6,107,06107004200,Census Tract 42,,,,43886
6107004301,"Census Tract 43.01, Tulare County, California",ACSSF,ca,140,0,11662,,,,,6,107,06107004301,Census Tract 43.01,,,,32500
6107004302,"Census Tract 43.02, Tulare County, California",ACSSF,ca,140,0,11663,,,,,6,107,06107004302,Census Tract 43.02,,,,43938
6107004401,"Census Tract 44.01, Tulare County, California",ACSSF,ca,140,0,11664,,,,,6,107,06107004401,Census Tract 44.01,,,,56741
6107004402,"Census Tract 44.02, Tulare County, California",ACSSF,ca,140,0,11665,,,,,6,107,06107004402,Census Tract 44.02,,,,37886
6107004500,"Census Tract 45, Tulare County, California",ACSSF,ca,140,0,11666,,,,,6,107,06107004500,Census Tract 45,,,,42819
